Date,Course,Hole,Par,Score,Putts,Chips,Sand,FH,GIR
6/1/2026,Rexburg Municipal,1,4,4,1,1,0,0,0
6/1/2026,Rexburg Municipal,2,4,4,1,1,0,1,0
6/1/2026,Rexburg Municipal,3,3,5,3,1,0,,0
6/1/2026,Rexburg Municipal,4,5,5,2,1,0,1,1
6/1/2026,Rexburg Municipal,5,3,5,1,3,0,,0
6/1/2026,Rexburg Municipal,6,4,5,2,2,0,0,0
6/1/2026,Rexburg Municipal,7,4,5,1,2,0,0,0
6/1/2026,Rexburg Municipal,8,4,5,2,2,0,1,0
6/1/2026,Rexburg Municipal,9,4,5,2,2,0,0,0
5/26/2026,Rexburg Municipal,1,4,5,1,2,0,0,0
5/26/2026,Rexburg Municipal,2,4,5,2,0,0,1,0
5/26/2026,Rexburg Municipal,3,3,3,1,1,0,,0
5/26/2026,Rexburg Municipal,4,5,5,2,1,0,0,1
5/26/2026,Rexburg Municipal,5,3,4,2,1,0,,0
5/26/2026,Rexburg Municipal,6,4,4,2,1,0,0,1
5/26/2026,Rexburg Municipal,7,4,4,1,1,0,1,0
5/26/2026,Rexburg Municipal,8,4,4,2,1,0,1,1
5/26/2026,Rexburg Municipal,9,4,6,2,1,1,0,0
5/25/2026,Teton Lakes NS,1,4,4,1,1,0,1,0
5/25/2026,Teton Lakes NS,2,3,4,2,1,0,,0
5/25/2026,Teton Lakes NS,3,5,7,2,1,0,1,0
5/25/2026,Teton Lakes NS,4,3,5,2,2,0,,0
5/25/2026,Teton Lakes NS,5,5,6,2,2,0,1,0
5/25/2026,Teton Lakes NS,6,3,4,2,1,0,,0
5/25/2026,Teton Lakes NS,7,4,7,2,0,1,0,0
5/25/2026,Teton Lakes NS,8,4,5,2,1,0,0,0
5/25/2026,Teton Lakes NS,9,5,6,1,2,0,0,0
5/25/2026,Teton Lakes NS,10,5,6,1,1,0,0,0
5/25/2026,Teton Lakes NS,11,4,5,1,2,0,1,0
5/25/2026,Teton Lakes NS,12,3,4,3,0,0,,1
5/25/2026,Teton Lakes NS,13,4,6,2,1,0,0,0
5/25/2026,Teton Lakes NS,14,4,4,1,2,0,1,0
5/25/2026,Teton Lakes NS,15,5,5,1,1,0,1,0
5/25/2026,Teton Lakes NS,16,4,3,1,0,0,0,1
5/25/2026,Teton Lakes NS,17,3,3,1,1,0,,0
5/25/2026,Teton Lakes NS,18,4,4,2,0,0,1,1
5/23/2026,Rexburg Municipal,1,4,5,2,1,0,0,0
5/23/2026,Rexburg Municipal,2,4,6,2,2,0,0,0
5/23/2026,Rexburg Municipal,3,3,5,3,1,0,,0
5/23/2026,Rexburg Municipal,4,5,5,2,0,0,1,1
5/23/2026,Rexburg Municipal,5,3,4,1,2,0,,0
5/23/2026,Rexburg Municipal,6,4,5,2,1,0,0,0
5/23/2026,Rexburg Municipal,7,4,5,3,0,0,1,1
5/23/2026,Rexburg Municipal,8,4,5,1,2,0,1,0
5/23/2026,Rexburg Municipal,9,4,8,3,2,0,0,0
5/22/2026,Rexburg Municipal,1,4,6,2,1,1,1,0
5/22/2026,Rexburg Municipal,2,4,6,1,3,0,0,0
5/22/2026,Rexburg Municipal,3,3,5,3,1,0,,0
5/22/2026,Rexburg Municipal,4,5,9,2,3,0,0,0
5/22/2026,Rexburg Municipal,5,3,6,2,1,2,,0
5/22/2026,Rexburg Municipal,6,4,5,2,1,0,0,0
5/22/2026,Rexburg Municipal,7,4,5,1,2,0,0,0
5/22/2026,Rexburg Municipal,8,4,5,1,2,0,1,0
5/22/2026,Rexburg Municipal,9,4,4,1,1,0,1,0
5/16/2026,Rexburg Municipal,1,4,6,1,3,0,1,0
5/16/2026,Rexburg Municipal,2,4,7,3,1,0,0,0
5/16/2026,Rexburg Municipal,3,3,5,2,2,0,,0
5/16/2026,Rexburg Municipal,4,5,6,2,1,0,0,0
5/16/2026,Rexburg Municipal,5,3,3,2,1,0,,1
5/16/2026,Rexburg Municipal,6,4,5,2,1,0,1,0
5/16/2026,Rexburg Municipal,7,4,6,2,2,0,0,0
5/16/2026,Rexburg Municipal,8,4,5,2,1,0,1,0
5/16/2026,Rexburg Municipal,9,4,5,1,1,0,0,0
5/12/2026,Rexburg Municipal,1,4,5,2,1,0,0,0
5/12/2026,Rexburg Municipal,2,4,7,2,3,0,0,0
5/12/2026,Rexburg Municipal,3,3,5,2,2,0,,0
5/12/2026,Rexburg Municipal,4,5,5,2,1,0,1,1
5/12/2026,Rexburg Municipal,5,3,3,2,1,0,,1
5/12/2026,Rexburg Municipal,6,4,6,3,1,0,0,0
5/12/2026,Rexburg Municipal,7,4,5,2,2,0,0,0
5/12/2026,Rexburg Municipal,8,4,7,2,3,0,0,0
5/12/2026,Rexburg Municipal,9,4,6,3,1,0,1,0
6/3/2026,Rexburg Municipal,1,4,5,1,2,0,0,0
6/3/2026,Rexburg Municipal,2,4,6,3,1,0,1,0
6/3/2026,Rexburg Municipal,3,3,4,1,1,1,,0
6/3/2026,Rexburg Municipal,4,5,5,2,1,0,1,1
6/3/2026,Rexburg Municipal,5,3,4,2,1,0,,0
6/3/2026,Rexburg Municipal,6,4,3,1,1,0,0,1
6/3/2026,Rexburg Municipal,7,4,6,2,3,0,0,0
6/3/2026,Rexburg Municipal,8,4,6,1,3,0,0,0
6/3/2026,Rexburg Municipal,9,4,5,2,2,0,1,0
5/11/2026,Rexburg Municipal,1,4,6,1,3,0,0,0
5/11/2026,Rexburg Municipal,2,4,6,2,2,0,0,0
5/11/2026,Rexburg Municipal,3,3,3,2,0,0,,1
5/11/2026,Rexburg Municipal,4,5,5,1,2,0,1,0
5/11/2026,Rexburg Municipal,5,3,4,2,1,0,,0
5/11/2026,Rexburg Municipal,6,4,6,3,1,0,0,0
5/11/2026,Rexburg Municipal,7,4,6,3,1,0,1,0
5/11/2026,Rexburg Municipal,8,4,4,1,1,0,0,0
5/11/2026,Rexburg Municipal,9,4,4,2,0,0,0,1
5/9/2026,Rexburg Municipal,1,4,6,2,2,0,1,0
5/9/2026,Rexburg Municipal,2,4,5,1,2,0,1,0
5/9/2026,Rexburg Municipal,3,3,5,2,2,0,,0
5/9/2026,Rexburg Municipal,4,5,6,2,1,0,0,0
5/9/2026,Rexburg Municipal,5,3,3,2,1,0,,1
5/9/2026,Rexburg Municipal,6,4,4,1,1,0,0,0
5/9/2026,Rexburg Municipal,7,4,5,3,0,0,0,1
5/9/2026,Rexburg Municipal,8,4,6,1,2,0,0,0
5/9/2026,Rexburg Municipal,9,4,5,2,2,0,0,0
5/9/2026,Rexburg Municipal,10,4,5,2,1,0,1,0
5/9/2026,Rexburg Municipal,11,4,6,2,2,0,0,0
5/9/2026,Rexburg Municipal,12,3,4,2,1,0,,0
5/9/2026,Rexburg Municipal,13,5,5,2,1,0,1,1
5/9/2026,Rexburg Municipal,14,3,3,1,1,0,,0
5/9/2026,Rexburg Municipal,15,4,5,2,2,0,0,0
5/9/2026,Rexburg Municipal,16,4,4,1,1,0,0,0
5/9/2026,Rexburg Municipal,17,4,5,1,2,0,1,0
5/9/2026,Rexburg Municipal,18,4,5,2,1,0,0,0
5/7/2026,Rexburg Municipal,1,4,5,2,1,0,0,0
5/7/2026,Rexburg Municipal,2,4,6,2,2,0,0,0
5/7/2026,Rexburg Municipal,3,3,4,2,1,0,,0
5/7/2026,Rexburg Municipal,4,5,5,2,1,0,1,1
5/7/2026,Rexburg Municipal,5,3,3,1,1,0,,0
5/7/2026,Rexburg Municipal,6,4,5,3,1,0,0,1
5/7/2026,Rexburg Municipal,7,4,5,2,1,0,0,0
5/7/2026,Rexburg Municipal,8,4,5,2,1,0,0,0
5/7/2026,Rexburg Municipal,9,4,6,2,3,0,0,0
5/5/2026,Rexburg Municipal,1,4,6,1,2,0,0,0
5/5/2026,Rexburg Municipal,2,4,8,4,1,0,0,0
5/5/2026,Rexburg Municipal,3,3,5,3,1,0,,0
5/5/2026,Rexburg Municipal,4,5,8,2,4,0,0,0
5/5/2026,Rexburg Municipal,5,3,5,2,2,0,,0
5/5/2026,Rexburg Municipal,6,4,7,3,2,0,0,0
5/5/2026,Rexburg Municipal,7,4,4,2,1,0,0,1
5/5/2026,Rexburg Municipal,8,4,6,2,2,0,0,0
5/5/2026,Rexburg Municipal,9,4,5,1,1,0,0,0
5/1/2026,Rexburg Municipal,1,4,4,1,2,0,0,0
5/1/2026,Rexburg Municipal,2,4,5,1,0,0,1,0
5/1/2026,Rexburg Municipal,3,3,6,2,2,0,,0
5/1/2026,Rexburg Municipal,4,5,6,2,1,0,0,0
5/1/2026,Rexburg Municipal,5,3,7,2,4,3,,0
5/1/2026,Rexburg Municipal,6,4,5,2,1,0,0,0
5/1/2026,Rexburg Municipal,7,4,5,2,2,0,0,0
5/1/2026,Rexburg Municipal,8,4,6,2,3,0,1,0
5/1/2026,Rexburg Municipal,9,4,7,3,3,1,1,0
4/28/2026,Rexburg Municipal,1,4,5,1,2,0,0,0
4/28/2026,Rexburg Municipal,2,4,8,2,4,0,0,0
4/28/2026,Rexburg Municipal,3,3,5,2,2,0,,0
4/28/2026,Rexburg Municipal,4,5,6,2,2,0,0,0
4/28/2026,Rexburg Municipal,5,3,7,3,3,0,,0
4/28/2026,Rexburg Municipal,6,4,5,2,2,0,1,0
4/28/2026,Rexburg Municipal,7,4,7,2,4,0,1,0
4/28/2026,Rexburg Municipal,8,4,6,3,1,0,0,0
4/28/2026,Rexburg Municipal,9,4,6,2,2,0,1,0
4/21/2026,Rexburg Municipal,1,4,5,1,2,0,1,0
4/21/2026,Rexburg Municipal,2,4,6,2,2,1,0,0
4/21/2026,Rexburg Municipal,3,3,3,1,1,0,,0
4/21/2026,Rexburg Municipal,4,5,6,2,2,0,0,0
4/21/2026,Rexburg Municipal,5,3,7,3,3,0,,0
4/21/2026,Rexburg Municipal,6,4,6,3,1,0,0,0
4/21/2026,Rexburg Municipal,7,4,5,2,1,0,0,0
4/21/2026,Rexburg Municipal,8,4,5,2,2,0,0,0
4/21/2026,Rexburg Municipal,9,4,6,3,2,0,1,0
4/20/2026,Rexburg Municipal,1,4,6,3,2,0,0,0
4/20/2026,Rexburg Municipal,2,4,6,2,2,0,0,0
4/20/2026,Rexburg Municipal,3,3,4,2,1,0,,0
4/20/2026,Rexburg Municipal,4,5,5,3,3,0,1,0
4/20/2026,Rexburg Municipal,5,3,3,1,1,0,,0
4/20/2026,Rexburg Municipal,6,4,5,2,2,0,0,0
4/20/2026,Rexburg Municipal,7,4,4,1,1,0,0,1
4/20/2026,Rexburg Municipal,8,4,5,2,2,0,0,0
4/20/2026,Rexburg Municipal,9,4,7,3,2,0,0,0
4/10/2026,Rexburg Municipal,1,4,8,3,3,0,0,0
4/10/2026,Rexburg Municipal,2,4,8,4,2,0,1,0
4/10/2026,Rexburg Municipal,3,3,5,3,1,0,,0
4/10/2026,Rexburg Municipal,4,5,5,1,2,0,1,0
4/10/2026,Rexburg Municipal,5,3,3,1,1,0,,0
4/10/2026,Rexburg Municipal,6,4,5,2,2,0,1,0
4/10/2026,Rexburg Municipal,7,4,7,3,1,2,0,0
4/10/2026,Rexburg Municipal,8,4,6,2,3,0,1,0
4/10/2026,Rexburg Municipal,9,4,7,2,1,1,0,0
3/28/2026,Fremont County,1,4,4,1,2,0,0,0
3/28/2026,Fremont County,2,4,6,2,1,0,0,0
3/28/2026,Fremont County,3,5,5,1,2,0,1,0
3/28/2026,Fremont County,4,3,5,2,2,0,,0
3/28/2026,Fremont County,5,4,6,2,2,0,0,0
3/28/2026,Fremont County,6,3,5,3,2,0,,0
3/28/2026,Fremont County,7,4,6,3,2,0,1,0
3/28/2026,Fremont County,8,4,5,1,2,0,0,0
3/28/2026,Fremont County,9,5,5,2,1,0,1,1
6/4/2026,Rexburg Municipal,1,4,6,1,2,0,0,0
6/4/2026,Rexburg Municipal,2,4,7,2,2,0,0,0
6/4/2026,Rexburg Municipal,3,3,3,1,1,0,,0
6/4/2026,Rexburg Municipal,4,5,4,1,1,0,0,1
6/4/2026,Rexburg Municipal,5,3,3,1,1,0,,0
6/4/2026,Rexburg Municipal,6,4,5,2,1,0,0,0
6/4/2026,Rexburg Municipal,7,4,5,2,2,0,1,0
6/4/2026,Rexburg Municipal,8,4,5,2,2,0,1,0
6/4/2026,Rexburg Municipal,9,4,5,2,2,0,0,0
6/5/2026,Rexburg Municipal,1,4,6,2,1,0,0,0
6/5/2026,Rexburg Municipal,2,4,7,2,2,0,1,0
6/5/2026,Rexburg Municipal,3,3,5,2,2,0,,0
6/5/2026,Rexburg Municipal,4,5,5,1,2,0,1,0
6/5/2026,Rexburg Municipal,5,3,4,2,1,0,,0
6/5/2026,Rexburg Municipal,6,4,6,2,2,0,1,0
6/5/2026,Rexburg Municipal,7,4,6,2,2,0,0,0
6/5/2026,Rexburg Municipal,8,4,4,2,0,0,0,1
6/5/2026,Rexburg Municipal,9,4,4,1,0,1,1,0
6/6/2026,Rexburg Municipal,1,4,6,2,2,0,1,0
6/6/2026,Rexburg Municipal,2,4,4,1,1,0,0,0
6/6/2026,Rexburg Municipal,3,3,6,3,2,0,,0
6/6/2026,Rexburg Municipal,4,5,7,1,4,0,1,0
6/6/2026,Rexburg Municipal,5,3,4,3,0,0,,1
6/6/2026,Rexburg Municipal,6,4,4,2,0,0,0,0
6/6/2026,Rexburg Municipal,7,4,5,3,1,0,0,0
6/6/2026,Rexburg Municipal,8,4,5,2,1,0,0,0
6/6/2026,Rexburg Municipal,9,4,3,1,1,0,1,1
6/6/2026,Rexburg Municipal,10,4,5,2,1,0,1,0
6/6/2026,Rexburg Municipal,11,4,8,3,2,0,0,0
6/6/2026,Rexburg Municipal,12,3,3,2,0,0,,1
6/6/2026,Rexburg Municipal,13,5,6,3,1,0,0,1
6/6/2026,Rexburg Municipal,14,3,4,1,2,0,,0
6/6/2026,Rexburg Municipal,15,4,5,2,1,0,0,0
6/6/2026,Rexburg Municipal,16,4,5,3,1,0,1,1
6/6/2026,Rexburg Municipal,17,4,5,2,1,0,0,0
6/6/2026,Rexburg Municipal,18,4,4,1,2,0,0,0
